"","subject","segment","session","hm_mean","hm_max","hm_mean_dvars","hm_max_dvars","thr","volume","log_volume","hm_mean_ten","hm_max_ten"
"1","sub0002","RS_A","D1",0.0894570591463415,0.196989,36.9676408536585,47.2865,"0",43.96,3.78328012953542,0.894570591463415,1.96989
"2","sub0002","RS_A","D1",0.0894570591463415,0.196989,36.9676408536585,47.2865,"23",30.528,3.41864429526588,0.894570591463415,1.96989
"3","sub0002","RS_A","D1",0.0894570591463415,0.196989,36.9676408536585,47.2865,"46",24.616,3.20339663801974,0.894570591463415,1.96989
"4","sub0002","RS_B","D1",0.0819011060182371,0.197485,35.2253881458967,48.3085,"0",22.184,3.09937130831348,0.819011060182371,1.97485
"5","sub0002","RS_B","D1",0.0819011060182371,0.197485,35.2253881458967,48.3085,"23",4.968,1.60301734463118,0.819011060182371,1.97485
"6","sub0002","RS_B","D1",0.0819011060182371,0.197485,35.2253881458967,48.3085,"46",2.472,0.905027539595444,0.819011060182371,1.97485
"7","sub0002","RS_C","D1",0.0930344526315789,0.537228,33.568225708502,47.9622,"0",32.632,3.48529340201526,0.930344526315789,5.37228
"8","sub0002","RS_C","D1",0.0930344526315789,0.537228,33.568225708502,47.9622,"23",21.672,3.07602110478279,0.930344526315789,5.37228
"9","sub0002","RS_C","D1",0.0930344526315789,0.537228,33.568225708502,47.9622,"46",17.512,2.86288636022056,0.930344526315789,5.37228
"10","sub0002","RS_D","D1",0.105906808194234,0.539698,31.216755538695,47.942,"0",33.92,3.5240048109237,1.05906808194234,5.39698
"11","sub0002","RS_D","D1",0.105906808194234,0.539698,31.216755538695,47.942,"23",25.528,3.23977588897594,1.05906808194234,5.39698
"12","sub0002","RS_D","D1",0.105906808194234,0.539698,31.216755538695,47.942,"46",21.8,3.08190996979504,1.05906808194234,5.39698
"13","sub0002","RS_E","D1",0.126652190776699,2.02688,31.090208131068,68.2166,"0",28.784,3.35981967720818,1.26652190776699,20.2688
"14","sub0002","RS_E","D1",0.126652190776699,2.02688,31.090208131068,68.2166,"23",21.328,3.06002076343635,1.26652190776699,20.2688
"15","sub0002","RS_E","D1",0.126652190776699,2.02688,31.090208131068,68.2166,"46",17.32,2.85186190313429,1.26652190776699,20.2688
"16","sub0003","RS_A","D1",0.309301590853659,1.60968,33.3174682926829,61.2173,"0",48.504,3.88164626876943,3.09301590853659,16.0968
"17","sub0003","RS_A","D1",0.309301590853659,1.60968,33.3174682926829,61.2173,"23",6.352,1.84876972394483,3.09301590853659,16.0968
"18","sub0003","RS_A","D1",0.309301590853659,1.60968,33.3174682926829,61.2173,"46",2.92,1.07158361628019,3.09301590853659,16.0968
"19","sub0003","RS_B","D1",0.295542449848024,1.65076,31.608520668693,62.4905,"0",59.648,4.08846061906313,2.95542449848024,16.5076
"20","sub0003","RS_B","D1",0.295542449848024,1.65076,31.608520668693,62.4905,"23",35.024,3.55603354078051,2.95542449848024,16.5076
"21","sub0003","RS_B","D1",0.295542449848024,1.65076,31.608520668693,62.4905,"46",12.696,2.54128698322411,2.95542449848024,16.5076
"22","sub0003","RS_C","D1",0.301639749797571,1.58029,31.8521765182186,66.8647,"0",88.144,4.47897184073036,3.01639749797571,15.8029
"23","sub0003","RS_C","D1",0.301639749797571,1.58029,31.8521765182186,66.8647,"23",59.96,4.0936776732344,3.01639749797571,15.8029
"24","sub0003","RS_C","D1",0.301639749797571,1.58029,31.8521765182186,66.8647,"46",29.672,3.39020384018729,3.01639749797571,15.8029
"25","sub0003","RS_D","D1",0.318469685735964,1.49732,28.3533508345979,69.1562,"0",91.12,4.51217731913893,3.18469685735964,14.9732
"26","sub0003","RS_D","D1",0.318469685735964,1.49732,28.3533508345979,69.1562,"23",65.424,4.18088916362229,3.18469685735964,14.9732
"27","sub0003","RS_D","D1",0.318469685735964,1.49732,28.3533508345979,69.1562,"46",34.048,3.52777129371918,3.18469685735964,14.9732
"28","sub0003","RS_E","D1",0.304604234951456,1.54978,31.2119807038835,64.751,"0",86.568,4.46093023226935,3.04604234951456,15.4978
"29","sub0003","RS_E","D1",0.304604234951456,1.54978,31.2119807038835,64.751,"23",61.504,4.11910221334783,3.04604234951456,15.4978
"30","sub0003","RS_E","D1",0.304604234951456,1.54978,31.2119807038835,64.751,"46",30.464,3.41654565860895,3.04604234951456,15.4978
"31","sub0004","RS_A","D1",0.115985441463415,0.570865,35.0128884146341,64.0457,"0",139.472,4.93786386426922,1.15985441463415,5.70865
"32","sub0004","RS_A","D1",0.115985441463415,0.570865,35.0128884146341,64.0457,"23",61.024,4.11126722941801,1.15985441463415,5.70865
"33","sub0004","RS_A","D1",0.115985441463415,0.570865,35.0128884146341,64.0457,"46",32.68,3.4867632699918,1.15985441463415,5.70865
"34","sub0004","RS_B","D1",0.121914429969605,0.482787,32.9188282674772,62.1882,"0",122.576,4.80873124577446,1.21914429969605,4.82787
"35","sub0004","RS_B","D1",0.121914429969605,0.482787,32.9188282674772,62.1882,"23",69.288,4.23827173102874,1.21914429969605,4.82787
"36","sub0004","RS_B","D1",0.121914429969605,0.482787,32.9188282674772,62.1882,"46",37.384,3.62124280539813,1.21914429969605,4.82787
